Book,Chapter,Verse,Alignment Sequence,Type,Word Sequence,Occurence,Occurences,Word,Strong,Lemma,Morph
Titus,1,1,1,T,1,1,1,Παῦλος,G39720,Παῦλος,"Gr,N,....NMS"
Titus,1,1,1,B,1,1,1,Paul,,,
Titus,1,1,2,T,1,1,1,δοῦλος,G14010,δοῦλος,"Gr,N,....NMS"
Titus,1,1,2,B,1,1,1,a,,,
Titus,1,1,2,B,2,1,1,servant,,,
Titus,1,1,3,T,1,1,2,Θεοῦ,G23160,θεός,"Gr,N,....GMS"
Titus,1,1,3,B,1,1,5,of,,,
Titus,1,1,3,B,2,1,2,God,,,
Titus,1,1,4,T,1,1,1,ἀπόστολος,G06520,ἀπόστολος,"Gr,N,....NMS"
Titus,1,1,4,B,1,1,1,an,,,
Titus,1,1,4,B,2,1,1,apostle,,,
Titus,1,1,5,T,1,1,1,δὲ,G11610,δέ,"Gr,C,......."
Titus,1,1,5,B,1,1,2,and,,,
Titus,1,1,6,T,1,1,1,Ἰησοῦ,G24240,Ἰησοῦς,"Gr,N,....GMS"
Titus,1,1,6,B,1,2,5,of,,,
Titus,1,1,6,B,2,1,1,Jesus,,,
Titus,1,1,7,T,1,1,1,Χριστοῦ,G55470,χριστός,"Gr,N,....GMS"
Titus,1,1,7,B,1,1,1,Christ,,,
Titus,1,1,8,T,1,1,1,κατὰ,G25960,κατά,"Gr,P,......."
Titus,1,1,8,B,1,1,1,for,,,
Titus,1,1,9,T,1,1,1,πίστιν,G41020,πίστις,"Gr,N,....AFS"
Titus,1,1,9,B,1,1,3,the,,,
Titus,1,1,9,B,2,1,1,faith,,,
Titus,1,1,10,T,1,1,1,ἐκλεκτῶν,G15880,ἐκλεκτός,"Gr,S,....GMP"
Titus,1,1,10,B,1,3,5,of,,,
Titus,1,1,10,B,2,2,3,the,,,
Titus,1,1,10,B,3,1,1,chosen,,,
Titus,1,1,10,B,4,1,1,people,,,
Titus,1,1,11,T,1,2,2,Θεοῦ,G23160,θεός,"Gr,N,....GMS"
Titus,1,1,11,B,1,4,5,of,,,
Titus,1,1,11,B,2,2,2,God,,,
Titus,1,1,12,T,1,1,1,καὶ,G25320,καί,"Gr,C,......."
Titus,1,1,12,B,1,2,2,and,,,
Titus,1,1,13,T,1,1,1,ἐπίγνωσιν,G19220,ἐπίγνωσις,"Gr,N,....AFS"
Titus,1,1,13,B,1,1,1,knowledge,,,
Titus,1,1,14,T,1,1,1,ἀληθείας,G02250,ἀλήθεια,"Gr,N,....GFS"
Titus,1,1,14,B,1,5,5,of,,,
Titus,1,1,14,B,2,3,3,the,,,
Titus,1,1,14,B,3,1,1,truth,,,
Titus,1,1,15,T,1,1,1,τῆς,G35880,ὁ,"Gr,R,....GFS"
Titus,1,1,15,B,1,1,1,that,,,
Titus,1,1,16,T,1,1,1,κατʼ,G25960,κατά,"Gr,P,......."
