Book,Chapter,Verse,Alignment Sequence,Type,Word Sequence,Occurence,Occurences,Word,Strong,Lemma,Morph
Titus,1,1,1,T,1,1,1,Παῦλος,G39720,Παῦλος,"Gr,N,....NMS"
Titus,1,1,1,B,1,1,3,I,,,
Titus,1,1,1,B,2,1,1,Paul,,,
Titus,1,1,1,B,3,1,1,write,,,
Titus,1,1,1,B,4,1,1,this,,,
Titus,1,1,1,B,5,1,1,letter,,,
Titus,1,1,1,B,6,1,5,to,,,
Titus,1,1,1,B,7,1,1,you,,,
Titus,1,1,1,B,8,1,1,Titus,,,
Titus,1,1,2,T,1,1,1,δοῦλος,G14010,δοῦλος,"Gr,N,....NMS"
Titus,1,1,2,B,1,2,3,I,,,
Titus,1,1,2,B,2,1,1,am,,,
Titus,1,1,2,B,3,1,2,a,,,
Titus,1,1,2,B,4,1,1,servant,,,
Titus,1,1,3,T,1,1,2,Θεοῦ,G23160,θεός,"Gr,N,....GMS"
Titus,1,1,3,B,1,1,2,of,,,
Titus,1,1,3,B,2,1,3,God,,,
Titus,1,1,4,T,1,1,1,ἀπόστολος,G06520,ἀπόστολος,"Gr,N,....NMS"
Titus,1,1,4,B,1,1,1,an,,,
Titus,1,1,4,B,2,1,1,apostle,,,
Titus,1,1,4,B,3,1,1,sent,,,
Titus,1,1,4,B,4,1,1,me,,,
Titus,1,1,5,T,1,1,1,δὲ,G11610,δέ,"Gr,C,......."
Titus,1,1,5,B,1,1,1,and,,,
Titus,1,1,6,T,1,1,1,Ἰησοῦ,G24240,Ἰησοῦς,"Gr,N,....GMS"
Titus,1,1,6,B,1,2,2,of,,,
Titus,1,1,6,B,2,1,1,Jesus,,,
Titus,1,1,7,T,1,1,1,Χριστοῦ,G55470,χριστός,"Gr,N,....GMS"
Titus,1,1,7,B,1,1,2,the,,,
Titus,1,1,7,B,2,1,1,Messiah,,,
Titus,1,1,8,T,1,1,1,κατὰ,G25960,κατά,"Gr,P,......."
Titus,1,1,8,T,2,1,1,πίστιν,G41020,πίστις,"Gr,N,....AFS"
Titus,1,1,8,B,1,2,5,to,,,
Titus,1,1,8,B,2,1,1,teach,,,
Titus,1,1,8,B,3,3,5,to,,,
Titus,1,1,8,B,4,1,1,trust,,,
Titus,1,1,8,B,5,1,1,him,,,
Titus,1,1,8,B,6,1,1,more,,,
Titus,1,1,9,T,1,1,1,ἐκλεκτῶν,G15880,ἐκλεκτός,"Gr,S,....GMP"
Titus,1,1,9,B,1,2,2,the,,,
Titus,1,1,9,B,2,1,2,people,,,
Titus,1,1,9,B,3,1,1,whom,,,
Titus,1,1,9,B,4,1,1,he,,,
Titus,1,1,9,B,5,1,1,has,,,
Titus,1,1,9,B,6,1,1,chosen,,,
Titus,1,1,9,B,7,1,1,as,,,
Titus,1,1,9,B,8,1,2,his,,,
Titus,1,1,9,B,9,1,1,own,,,
Titus,1,1,10,T,1,2,2,Θεοῦ,G23160,θεός,"Gr,N,....GMS"
Titus,1,1,10,B,1,2,3,God,,,
Titus,1,1,11,T,1,1,1,καὶ,G25320,καί,"Gr,C,......."
Titus,1,1,11,T,2,1,1,ἐπίγνωσιν,G19220,ἐπίγνωσις,"Gr,N,....AFS"
Titus,1,1,11,B,1,3,3,I,,,
Titus,1,1,11,B,2,1,1,work,,,
Titus,1,1,11,B,3,4,5,to,,,
Titus,1,1,11,B,4,1,1,help,,,
Titus,1,1,11,B,5,2,2,his,,,
Titus,1,1,11,B,6,2,2,people,,,
Titus,1,1,11,B,7,5,5,to,,,
Titus,1,1,11,B,8,1,1,know,,,
Titus,1,1,12,T,1,1,1,ἀληθείας,G02250,ἀλήθεια,"Gr,N,....GFS"
Titus,1,1,12,B,1,1,1,what,,,
Titus,1,1,12,B,2,1,1,is,,,
Titus,1,1,12,B,3,1,1,true,,,
Titus,1,1,13,T,1,1,1,τῆς,G35880,ὁ,"Gr,R,....GFS"
Titus,1,1,13,T,2,1,1,κατʼ,G25960,κατά,"Gr,P,......."
Titus,1,1,13,B,1,1,1,so,,,
Titus,1,1,13,B,2,1,2,that,,,
Titus,1,1,14,T,1,1,1,εὐσέβειαν,G21500,εὐσέβεια,"Gr,N,....AFS"
Titus,1,1,14,B,1,1,1,they,,,
Titus,1,1,14,B,2,1,1,can,,,
Titus,1,1,14,B,3,1,1,live,,,
Titus,1,1,14,B,4,1,1,in,,,
Titus,1,1,14,B,5,2,2,a,,,
Titus,1,1,14,B,6,1,1,way,,,
Titus,1,1,14,B,7,2,2,that,,,
Titus,1,1,14,B,8,1,1,pleases,,,
Titus,1,1,14,B,9,3,3,God,,,
Titus,1,2,1,T,1,1,1,ἐπʼ,G19090,ἐπί,"Gr,P,......."
Titus,1,2,1,B,1,1,1,His,,,
Titus,1,2,1,B,2,1,1,people,,,
Titus,1,2,1,B,3,1,1,can,,,
Titus,1,2,1,B,4,1,1,learn,,,
Titus,1,2,1,B,5,1,1,how,,,
Titus,1,2,1,B,6,1,4,to,,,
Titus,1,2,1,B,7,1,3,live,,,
Titus,1,2,1,B,8,1,1,like,,,
Titus,1,2,1,B,9,1,1,this,,,
Titus,1,2,2,T,1,1,1,ἐλπίδι,G16800,ἐλπίς,"Gr,N,....DFS"
Titus,1,2,2,B,1,1,1,because,,,
Titus,1,2,2,B,2,1,1,they,,,
Titus,1,2,2,B,3,1,1,are,,,
Titus,1,2,2,B,4,1,1,confident,,,
Titus,1,2,3,T,1,1,1,ζωῆς,G22220,ζωή,"Gr,N,....GFS"
Titus,1,2,3,B,1,1,1,that,,,
Titus,1,2,3,B,2,1,2,God,,,
Titus,1,2,3,B,3,1,1,will,,,
Titus,1,2,3,B,4,1,2,cause,,,
Titus,1,2,3,B,5,1,1,them,,,
Titus,1,2,3,B,6,2,4,to,,,
Titus,1,2,3,B,7,2,3,live,,,
Titus,1,2,4,T,1,1,1,αἰωνίου,G01660,αἰώνιος,"Gr,A,....GFS"
Titus,1,2,4,B,1,1,2,forever,,,
Titus,1,2,5,T,1,1,1,ἣν,G37390,ὅς,"Gr,R,....AFS"
Titus,1,2,5,B,1,1,1,he,,,
Titus,1,2,6,T,1,1,1,ἐπηγγείλατο,G18610,ἐπαγγέλλω,"Gr,V,IAM3..S"
Titus,1,2,6,B,1,1,1,promised,,,
Titus,1,2,6,B,2,3,4,to,,,
Titus,1,2,6,B,3,2,2,cause,,,
Titus,1,2,6,B,4,1,1,us,,,
Titus,1,2,6,B,5,4,4,to,,,
Titus,1,2,6,B,6,3,3,live,,,
Titus,1,2,6,B,7,2,2,forever,,,
Titus,1,2,7,T,1,1,1,ὁ,G35880,ὁ,"Gr,E,....NMS"
Titus,1,2,7,T,2,1,1,ἀψευδὴς,G08930,ἀψευδής,"Gr,A,....NMS"
Titus,1,2,7,B,1,1,1,does,,,
Titus,1,2,7,B,2,1,1,not,,,
Titus,1,2,7,B,3,1,1,lie,,,
Titus,1,2,8,T,1,1,1,Θεὸς,G23160,θεός,"Gr,N,....NMS"
Titus,1,2,8,B,1,2,2,God,,,
Titus,1,2,9,T,1,1,1,πρὸ,G42530,πρό,"Gr,P,......."
Titus,1,2,9,B,1,1,1,Even,,,
Titus,1,2,9,B,2,1,1,before,,,
Titus,1,2,10,T,1,1,1,χρόνων,G55500,χρόνος,"Gr,N,....GMP"
Titus,1,2,10,T,2,1,1,αἰωνίων,G01660,αἰώνιος,"Gr,A,....GMP"
Titus,1,2,10,B,1,1,1,the,,,
Titus,1,2,10,B,2,1,1,world,,,
Titus,1,2,10,B,3,1,1,began,,,
Titus,1,3,1,T,1,1,1,ἐφανέρωσεν,G53190,φανερόω,"Gr,V,IAA3..S"
Titus,1,3,1,B,1,1,2,he,,,
Titus,1,3,1,B,2,1,1,communicated,,,
Titus,1,3,2,T,1,1,1,δὲ,G11610,δέ,"Gr,C,......."
Titus,1,3,2,B,1,1,1,Then,,,
Titus,1,3,3,T,1,1,1,καιροῖς,G25400,καιρός,"Gr,N,....DMP"
Titus,1,3,3,B,1,1,1,time,,,
Titus,1,3,4,T,1,1,1,ἰδίοις,G23980,ἴδιος,"Gr,E,....DMP"
Titus,1,3,4,B,1,1,1,at,,,
Titus,1,3,4,B,2,1,2,the,,,
Titus,1,3,4,B,3,1,1,right,,,
Titus,1,3,5,T,1,1,1,τὸν,G35880,ὁ,"Gr,E,....AMS"
Titus,1,3,5,T,2,1,1,λόγον,G30560,λόγος,"Gr,N,....AMS"
Titus,1,3,5,B,1,1,1,plan,,,
Titus,1,3,6,T,1,1,1,αὐτοῦ,G08460,αὐτός,"Gr,R,...3GMS"
Titus,1,3,6,B,1,1,1,his,,,
Titus,1,3,7,T,1,1,1,ἐν,G17220,ἐν,"Gr,P,......."
Titus,1,3,7,B,1,1,1,through,,,
